date,open,high,low,close,volume,future_return,label
2026-02-15 01:00:00,69777.06,69902.7,69350.0,69717.65,400.20039,-0.03496603801189513,Vendre
2026-02-15 02:00:00,69717.65,69753.9,69341.27,69480.01,375.21945,-0.0322104156288981,Vendre
2026-02-15 03:00:00,69480.0,69990.02,69251.5,69954.5,697.2437,-0.036999049382098366,Vendre
2026-02-15 04:00:00,69954.5,70518.57,69459.35,70183.99,2275.16813,-0.04159296158568362,Vendre
2026-02-15 05:00:00,70184.0,70472.43,70132.54,70267.61,540.45783,-0.035258207871307914,Vendre
2026-02-15 06:00:00,70267.6,70540.99,70184.09,70405.12,505.71551,-0.03632761367355093,Vendre
2026-02-15 07:00:00,70405.12,70926.42,70307.11,70828.42,1425.80275,-0.042391316931819106,Vendre
2026-02-15 08:00:00,70828.43,70983.0,70182.31,70446.52,898.37828,-0.03643231773549636,Vendre
2026-02-15 09:00:00,70446.52,70668.0,70370.3,70419.11,334.99126,-0.031245211704606812,Vendre
2026-02-15 10:00:00,70419.12,70523.94,70208.16,70427.02,382.24903,-0.03518578522845349,Vendre
2026-02-15 11:00:00,70427.02,70543.14,70267.6,70295.22,457.63561,-0.0423472605960974,Vendre
2026-02-15 12:00:00,70295.22,70418.48,69309.87,69314.21,1027.34588,-0.025571091411126262,Vendre
2026-02-15 13:00:00,69314.22,69620.06,68772.2,68930.0,1749.29694,-0.03087741186711163,Vendre
2026-02-15 14:00:00,68930.0,69219.71,68845.72,69170.51,629.32577,-0.030372191848809568,Vendre
2026-02-15 15:00:00,69170.51,69255.6,68888.0,69099.99,446.59665,-0.021954272352282655,Vendre
2026-02-15 16:00:00,69100.0,69100.0,68658.0,69017.75,1442.09011,-0.01770964715598522,Attendre
2026-02-15 17:00:00,69017.76,69085.22,68203.6,68641.21,1194.71218,-0.014974095007940724,Attendre
2026-02-15 18:00:00,68641.21,68800.0,68274.31,68451.44,2695.36643,-0.007702248484473021,Attendre
2026-02-15 19:00:00,68451.45,68560.84,68000.0,68286.63,2807.35363,-0.009381045747901247,Attendre
2026-02-15 20:00:00,68286.64,68560.22,68120.0,68450.0,399.94279,-0.010220598977355819,Attendre
2026-02-15 21:00:00,68450.0,68950.16,68450.0,68852.01,407.5596,-0.014903559097258011,Attendre
2026-02-15 22:00:00,68852.01,69078.49,68801.06,68999.96,384.07496,-0.013359862817311802,Attendre
2026-02-15 23:00:00,68999.96,68999.96,68319.64,68832.58,521.04745,-0.011805020238962523,Attendre
2026-02-16 00:00:00,68832.59,69065.5,68700.0,68845.81,349.86984,-0.014595078480447797,Attendre
2026-02-16 01:00:00,68845.81,69041.97,68454.54,68630.81,270.08273,-0.009901821062580966,Attendre
2026-02-16 02:00:00,68630.81,68734.0,68243.68,68320.48,683.734,-0.004675464809380628,Attendre
2026-02-16 03:00:00,68320.49,68463.96,68143.22,68424.82,453.41167,-0.011063967723992593,Attendre
2026-02-16 04:00:00,68424.82,68894.52,68417.17,68870.07,465.20741,-0.01529111267056946,Attendre
2026-02-16 05:00:00,68870.07,68900.0,68293.28,68385.29,353.88428,-0.007799338132513595,Attendre
2026-02-16 06:00:00,68385.29,68527.8,68228.76,68450.8,240.56615,-0.00960427051254329,Attendre
2026-02-16 07:00:00,68450.8,68672.59,68380.0,68587.9,362.20306,-0.010670832610416698,Attendre
2026-02-16 08:00:00,68587.89,68798.7,68542.63,68762.85,301.81895,-0.010293639661532454,Attendre
2026-02-16 09:00:00,68762.86,69060.77,68748.02,68992.71,453.08481,-0.012250279775935857,Attendre
2026-02-16 10:00:00,68992.7,68992.71,68690.85,68798.22,358.68374,-0.00846940516775009,Attendre
2026-02-16 11:00:00,68798.21,68918.22,68338.9,68812.83,495.50759,-0.010468687307294361,Attendre
2026-02-16 12:00:00,68812.84,69848.48,68807.54,69763.24,1602.28029,-0.02235876659398283,Vendre
2026-02-16 13:00:00,69763.24,70126.67,68225.0,68395.1,1720.62066,-0.0019754339126633424,Attendre
2026-02-16 14:00:00,68395.11,68718.3,68260.39,68427.64,1092.6004,0.0003269146795066342,Attendre
2026-02-16 15:00:00,68427.64,68607.22,67294.11,67539.52,2148.07022,0.015923713997375105,Attendre
